run_id,status,started_at,completed_at,failed_at,experiment_name,task_name,model_name,primary_metric_name,primary_metric_value,notes
6c48cf6307dc,COMPLETED,2025-12-30T01:38:55Z,2025-12-30T01:39:31Z,,pinn_poisson1d_fourier,pinn_poisson1d,fourier_mlp,eval_rel_l2,0.865079,1D Poisson PINN with Fourier features
e8c5355cbc8e,FAILED,2025-12-30T01:37:12Z,,2025-12-30T01:38:32Z,pinn_poisson1d_fourier,pinn_poisson1d,fourier_mlp,,,RuntimeError: derivative for aten::linear_backward is not implemented
